,restaurant,url,distance,star,num_reviews,city,price_range,cuisine,cuisine_label
2730,Mary's on Davie,https://www.doordash.com/store/1485966/?pickup=false,0.9,4.6,77,Vancouver,$$,,
2731,Holy Guacamole Mexican Grill,https://www.doordash.com/store/1721496/?pickup=false,1.2,4.6,275,Vancouver,$$,North American,Mexican
2732,Uno Gelato,https://www.doordash.com/store/1260844/?pickup=false,0.6,4.7,1,Vancouver,$$,,
2733,Dan Dan Noodle (Denman) ä¿¥¿,https://www.doordash.com/store/1691697/?pickup=false,1.2,4.3,164,Vancouver,$$,East Asian,Chinese
2734,Cardero Cafe on Davie,https://www.doordash.com/store/1057079/?pickup=false,0.7,4.5,51,Vancouver,$$,Latin American & Global Fusion,Latin American
2735,Coca Leaf Cafe,https://www.doordash.com/store/926554/?pickup=false,1.1,4.9,73,Vancouver,$$,,
2736,Loz TaKos,https://www.doordash.com/store/783004/?pickup=false,1.2,4.1,48,Vancouver,$$,,
2737,Napoletana Pizza Cafe & Gelato,https://www.doordash.com/store/31646/?pickup=false,2.1,4.4,183,Vancouver,$$,European,Italian
2738,Mr Steak,https://www.doordash.com/store/566547/?pickup=false,0.5,4.3,13,Vancouver,$$,,
2739,Jade Dynasty Restaurant è½,https://www.doordash.com/store/566803/?pickup=false,0.6,4.5,246,Vancouver,$$,East Asian,Chinese
2740,Gringo,https://www.doordash.com/store/2408853/?pickup=false,0.5,4.4,270,Vancouver,$$,,
2741,Grab N Go Hamilton,https://www.doordash.com/store/1312756/?pickup=false,0.2,4.5,187,Vancouver,$$,East Asian,Korean
2742,Famous Wok,https://www.doordash.com/store/217582/?pickup=false,0.5,3.7,34,Vancouver,$$,East Asian,Chinese
2743,Mr. Cool Donair (Robson Street),https://www.doordash.com/store/2855906/?pickup=false,1.2,4.2,17,Vancouver,$$,,
2744,Circle K,https://www.doordash.com/convenience/store/1241030/?pickup=false,0.8,4.3,181,Vancouver,$$,,
2745,Sushi Kaido,https://www.doordash.com/store/2411130/?pickup=false,1.3,4.8,75,Vancouver,$$,,
2746,Sashimiya,https://www.doordash.com/store/1777694/?pickup=false,0.7,4.7,95,Vancouver,$$,East Asian,Japanese
2747,Thai Away Home,https://www.doordash.com/store/1266830/?pickup=false,1.3,4.6,280,Vancouver,$$,Southeast Asian,Thai
2748,Sushi Maki,https://www.doordash.com/store/23173518/?pickup=false,0.5,5,1,Vancouver,$$,East Asian,Japanese
2749,Rice 'N Spice,https://www.doordash.com/store/98719/?pickup=false,0.3,4.2,15,Vancouver,$$,,
2750,Potluck Hawker Eatery,https://www.doordash.com/store/23087467/?pickup=false,1.8,4.8,46,Vancouver,$$,,
2751,EuroFood Plus,https://www.doordash.com/store/2339510/?pickup=false,1.1,5,1,Vancouver,$$,European,European
2752,Male & Female Harmony Adult Boutique,https://www.doordash.com/store/1738964/?pickup=false,1.5,4.6,11,Vancouver,$$,,
